annee,arrondissement,prix_m2,prix_m2_prec,variation_%
2021,1,14667,12847,14.17
2021,3,13152,13500,-2.58
2021,8,12857,13265,-3.08
2021,13,10119,10000,1.19
2021,14,11006,11140,-1.2
2021,15,10970,10963,0.06
2021,16,11880,12113,-1.92
2021,17,11698,11667,0.27
2021,18,10577,10588,-0.1
2021,19,9630,8855,8.75
2021,20,9874,10000,-1.26
2022,1,14317,14667,-2.39
2022,2,12188,12385,-1.59
2022,3,12947,13152,-1.56
2022,4,13796,13340,3.41
2022,5,13108,13263,-1.17
2022,6,15714,15603,0.71
2022,7,15278,15031,1.64
2022,8,13987,12857,8.79
2022,9,12000,11897,0.87
2022,10,10761,10650,1.04
2022,11,11244,11332,-0.78
2022,12,10203,10474,-2.59
2022,13,9967,10119,-1.5
2022,14,10976,11006,-0.27
2022,15,10844,10970,-1.15
2022,16,12058,11880,1.5
2022,17,11602,11698,-0.82
2022,18,10462,10577,-1.09
2022,19,9482,9630,-1.54
2022,20,9556,9874,-3.23
2023,1,13704,14317,-4.28
2023,2,11731,12188,-3.75
2023,3,12430,12947,-3.99
2023,4,13857,13796,0.44
2023,5,12724,13108,-2.93
2023,6,16000,15714,1.82
2023,7,15100,15278,-1.17
2023,8,13273,13987,-5.1
2023,9,11320,12000,-5.67
2023,10,10000,10761,-7.07
2023,11,10450,11244,-7.06
2023,12,9802,10203,-3.93
2023,13,9400,9967,-5.69
2023,14,10286,10976,-6.29
2023,15,10093,10844,-6.93
2023,16,11667,12058,-3.24
2023,17,10915,11602,-5.92
2023,18,9817,10462,-6.17
2023,19,9010,9482,-4.98
2023,20,8897,9556,-6.9
2024,1,12715,13704,-7.22
2024,2,12360,11731,5.36
2024,3,12708,12430,2.24
2024,4,13591,13857,-1.92
2024,5,12172,12724,-4.34
2024,6,15556,16000,-2.78
2024,7,15609,15100,3.37
2024,8,13474,13273,1.51
2024,9,10878,11320,-3.9
2024,10,9317,10000,-6.83
2024,11,10250,10450,-1.91
2024,12,9450,9802,-3.59
2024,13,9259,9400,-1.5
2024,14,9555,10286,-7.11
2024,15,9730,10093,-3.6
2024,16,11062,11667,-5.19
2024,17,10189,10915,-6.65
2024,18,8810,9817,-10.26
2024,19,8167,9010,-9.36
2024,20,8480,8897,-4.69
2025,1,12432,12715,-2.23
2025,2,12613,12360,2.05
2025,3,12167,12708,-4.26
2025,4,12763,13591,-6.09
2025,5,12350,12172,1.46
2025,6,15469,15556,-0.56
2025,7,17167,15609,9.98
2025,8,13162,13474,-2.31
2025,9,11468,10878,5.43
2025,10,9083,9317,-2.51
2025,11,9921,10250,-3.21
2025,12,9683,9450,2.47
2025,13,10000,9259,8.0
2025,14,9344,9555,-2.21
2025,15,9600,9730,-1.34
2025,16,11299,11062,2.14
2025,17,10372,10189,1.8
2025,18,9200,8810,4.43
2025,19,8128,8167,-0.48
2025,20,8376,8480,-1.23
