id_espace_vert,nom_espace_vert,type_espace_vert,code_postal,arr_num,surface_m2
13346,JARDINS DES CHAMPS ELYSEES- JARDIN LINE RENAUD,Promenades ouvertes,75008,8.0,20390.0
13106,JARDINIERES RAE DE LA RUE D ORSEL,Décorations sur la voie publique,75018,18.0,213.0
11149,JARDINIERE VERTICALE DU 4 BOULEVARD DE LA BASTILLE,Murs végétalisés,75012,12.0,5.0
13331,JARDINIERES EVQ DU BOULEVARD SERURIER,Décorations sur la voie publique,75019,19.0,
11367,JARDINIERE PLACETTE LOUCHEUR-BRUNET,Décorations sur la voie publique,75017,17.0,247.0
11226,JARDINIERE DE LA PLACE DU DOCTEUR FELIX LOBLIGEOIS,Décorations sur la voie publique,75017,17.0,167.0
11171,JARDINIERE VERTICALE DU 1 RUE RENE RAVAUD,Murs végétalisés,75015,15.0,5.0
10720,JARDINIERES DE LA RUE DES TAPISSERIES,Décorations sur la voie publique,75017,17.0,1078.0
13370,JARDINIERES VERTICALES ANGLE  DU 19 RUE DE MARSEILLE,Décorations sur la voie publique,75010,10.0,2.0
12187,JARDINIERE VERTICALE ANGLE DES RUES MORNAY ARSENAL,Murs végétalisés,75004,4.0,4.0
322,05-01,Périphérique,75014,14.0,674.0
10215,DECORATION DE LA PLACE LOUIS LEPINE,Décorations sur la voie publique,75004,4.0,92.0
10220,JARDINIERES DU BOULEVARD MORLAND,Décorations sur la voie publique,75004,4.0,30.0
12017,JARDINIERE VERTICALE DU SQUARE HENRI GALLI,Murs végétalisés,75004,4.0,195.0
13063,JARDINIERES EVQ DE LA RUE ALEXANDRE CHARPENTIER,Décorations sur la voie publique,75017,17.0,210.0
11311,ARCHIPEL DES BERGES DE LA SEINE - NIKI DE SAINT-PHALLE,Promenades ouvertes,75007,7.0,1840.0
90,JARDINET DE LA PLACE JACQUES BAINVILLE,Jardinets décoratifs,75007,7.0,300.0
11776,JARDIN DU PERE ARMAND DAVID,Promenades ouvertes,75006,6.0,500.0
891,PLATE-BANDE DE LA RUE FROIDEVAUX,Jardinets décoratifs,75014,14.0,1837.0
11526,JARDIN PARTAGE DU 38 QUAI DE LA MARNE,"Ephémères, partagés, pédagogiques",75019,19.0,1050.0
