annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2008,15,75015,Paris,0,0,11
2008,20,75020,Paris,6,8,0
2009,20,75020,Paris,1,0,0
2009,17,75017,Paris,40,0,0
2009,17,75017,Paris,5,11,0
2009,17,75017,Paris,0,4,0
2009,19,75019,Paris,0,10,42
2009,15,75015,Paris,0,4,0
2009,18,75018,Paris,0,1,0
2009,12,75012,Paris,35,30,0
2009,17,75017,Paris,2,6,3
2009,13,75013,Paris,230,0,0
2009,15,75015,Paris,0,3,0
2009,14,75014,Paris,2,6,4
2009,13,75013,Paris,5,11,0
2009,16,75016,Paris,36,0,0
2009,11,75011,Paris,2,12,5
2009,15,75015,Paris,0,8,2
2009,18,75018,Paris,0,1,0
2009,11,75011,Paris,4,9,4
2009,20,75020,Paris,0,4,0
